2409:2026-03-12 18:11:20 | ERROR    | vanguard | kalshi_agent | [vanguard] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2410:2026-03-12 18:11:20 | WARNING  | vanguard | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2412:2026-03-12 18:11:22 | ERROR    | oracle | kalshi_agent | [oracle] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2413:2026-03-12 18:11:22 | WARNING  | oracle | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2415:2026-03-12 18:11:26 | ERROR    | pulse | kalshi_agent | [pulse] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2416:2026-03-12 18:11:26 | WARNING  | pulse | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2433:2026-03-12 18:11:35 | ERROR    | sentinel | kalshi_agent | [sentinel] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2434:2026-03-12 18:11:35 | WARNING  | sentinel | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2441:2026-03-12 18:11:40 | ERROR    | vanguard | kalshi_agent | [vanguard] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2442:2026-03-12 18:11:40 | WARNING  | vanguard | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2444:2026-03-12 18:11:42 | ERROR    | oracle | kalshi_agent | [oracle] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2445:2026-03-12 18:11:43 | WARNING  | oracle | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2450:2026-03-12 18:11:44 | ERROR    | pulse | kalshi_agent | [pulse] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2451:2026-03-12 18:11:44 | WARNING  | pulse | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2461:2026-03-12 18:11:52 | ERROR    | sentinel | kalshi_agent | [sentinel] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2462:2026-03-12 18:11:52 | WARNING  | sentinel | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2473:2026-03-12 18:11:58 | ERROR    | oracle | kalshi_agent | [oracle] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2474:2026-03-12 18:11:58 | WARNING  | oracle | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2476:2026-03-12 18:11:59 | ERROR    | vanguard | kalshi_agent | [vanguard] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2477:2026-03-12 18:11:59 | WARNING  | vanguard | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2489:2026-03-12 18:12:07 | ERROR    | pulse | kalshi_agent | [pulse] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2490:2026-03-12 18:12:07 | WARNING  | pulse | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
